actor,task,claim,auto,teleop,finish,successname,missname,enums,end
robot,holdGear,boolean,boolean,na,na,Start with Gear,,,
robot,pickupGearFloor,boolean,na,count ,na,Pickup Gear,,,
robot,pickupGearRetrieval,boolean ,na,count ,na,Retrieve Gear,,,
robot,placeGear,boolean,boolean,count,na,Place Gear,Drop Gear,,
robot,guideGear,boolean,attempt,attempt,na,Guide Gear,,,
robot,holdFuelCapacity,count,boolean,na,na,Start with fuel,,,
robot,pickupFuelFloor,boolean,na,boolean,na,Floor Fuel,,,
robot,pickupFuelHopper,boolean,count,boolean,na,Hopper Fuel,,,
robot,pickupFuelRetrieval,boolean,na,boolean,na,Retrieve Fuel,,,
robot,shootLowBoiler,boolean,count,count,na,Low,Miss,,
robot,shootHighBoiler,boolean,count,count,na,High,Miss,,
robot,aimFuel,boolean,attempt,attempt,na,Aim Fuel,,,
robot,shotPercentage,na,percentage,na,percentage,Final Percent,,,
robot,defendMovement,na,na,attempt,na,Defend,,,
robot,startingLocation,enum ,enum,na,na,Start Place,,Retrieval|Center|Boiler,
robot,moveBaseline,boolean,boolean,na,na,Baseline,Moved,,
robot,disabled,na,enum,enum,boolean,Disabled,,,
robot,climbRope,boolean,na,cycletime,cycletime,Climbing time (s),,,
robot,pushTouchPad,boolean,na,na,boolean,Make climb,,,
robot,grabRope,boolean,na,count,na,Grab rope,,,
robot,maintainContact,boolean,na,na,boolean,Touchpad held,,,
robot,hasCustomRope,boolean,na,na,na,Custom Rope,,,
robot,preferredDavit,enum,na,enum,na,Prefered Davit,,1|2|3,
robot,robotNormalFoul,na,count,count,na,Foul,,,
robot,robotTechFoul,na,count,count,na,Tech Foul,,,
robot,robotRedCard,na,count,count,na,Red Card,,,
robot,robotYellowCard,na,count,count,na,Yellow Card,,,
robot,hasRobot,boolean,na,na,boolean,No show,,,
team,hasPilot,boolean,na,na,na,Has Pilot,,,
team,hasHumanPlayer,boolean,na,na,na,Has Human Player,,,
team,showUp,boolean,na,na,na,Shown up,,,
alliance,autoscoreRotor,na,count,na,count,Rotor auto,,,
alliance,autoscoreKpa,na,count,na,count,Pressure auto,,,
alliance,finalScore,na,na,na,count,Final Score,,,
alliance,allianceNormalFoul,na,na,na,count,Foul,,,
alliance,allianceTechFoul,na,na,na,count,Tech Foul,,,
alliance,allianceYellowCard,na,na,na,count,Red Card,,,
alliance,allianceRedCard,na,na,na,count,Yellow Card,,,
alliance,matchRankingPoint,na,na,na,count,Match RP,,,
alliance,rotorCount,na,na,count,count,Rotors turning,,,
alliance,boilerKpa,na,na,count,count,,,,
alliance,rotorRankingPoint,na,na,na,count,,,,
alliance,boilerRankingPoint,na,na,na,count,,,,
alliance,touchPadScore,na,na,na,count,Climbing score,,,
pilot,deployRope,na,na,enum,na,,,Released|Late|Never,
pilot,liftGear,na,count,count,na,,,,
pilot,installGear,na,count,count,na,,,,
pilot,misplaceGear,na,boolean,boolean,na,,,,
pilot,ignoreGear,na,boolean,boolean,na,,,,
pilot,dropGear,na,boolean,boolean,na,,,,
pilot,turnRotor,na,count,count,na,,,,
pilot,pilotNormalFoul,na,count,count,na,Foul,,,
pilot,pilotTechFoul,na,count,count,na,Tech Foul,,,
pilot,pilotYellowCard,na,count,count,na,Red Card,,,
pilot,pilotRedCard,na,count,count,na,Yellow Card,,,
human player,releaseOverflow,na,na,count,na,,,,
human player,loadGear,na,count,count,na,,,,
human player,loadFuel,na,count,count,na,,,,
human player,humanNormalFoul,na,count,count,na,,,,
human player,humanTechFoul,na,count,count,na,,,,
human player,humanYellowCard,na,count,count,na,,,,
human player,humanRedCard,na,count,count,na,,,,
