actor,observer,phase,category,position,newpart,tasks,end
robot,match,auto,Starting,,FALSE,startingLocation|moveBaseline,
robot,match,auto,Gear,,FALSE,holdGear|placeGear,
robot,match,auto,Fuel,,TRUE,holdFuelCapacity|shootLowBoiler|shootHighBoiler,
robot,match,teleop,Gear,,FALSE,placeGear|pickupGearRetrieval|pickupGearFloor,
robot,match,teleop,Fuel,,TRUE,pickupFuelRetrieval|pickupFuelHopper|pickupFuelFloor,
robot,match,final,Climb,,FALSE,pushTouchPad|climbRope|maintainContact,
robot,match,final,Failure,,TRUE,disabled|hasRobot,
robot,match,waiting,Waiting for Server,,FALSE,,
robot,boiler,teleop,Red 1(Team),1,FALSE,shootLowBoiler|shootHighBoiler,
robot,boiler,teleop,Red 2(Team),2,TRUE,shootLowBoiler|shootHighBoiler,
robot,boiler,teleop,Red 3(Team),3,TRUE,shootLowBoiler|shootHighBoiler,
robot,boiler,final,Red 1(Team),1,FALSE,shotPercentage,
robot,boiler,final,Red 2(Team),2,TRUE,shotPercentage,
robot,boiler,final,Red 3(Team),3,TRUE,shotPercentage,
robot,boiler,waiting,Waiting for Server,,FALSE,,
