Alliance, Team, Station
1,2412,1
1,0,2
1,0,3
2,2046,1
2,0,2
2,0,3
3,3049,1
3,0,2
3,0,3
4,3393,1
4,0,2
4,0,3
5,3219,1
5,0,2
5,0,3
6,0,1
6,0,2
6,0,3
7,0,1
7,0,2
7,0,3
8,0,1
8,0,2
8,0,3
na,"1258",na
na,"1318",na
na,"2046",na
na,"2412",na
na,"2555",na
na,"2906",na
na,"2907",na
na,"2929",na
na,"2942",na
na,"2980",na
na,"3049",na
na,"3219",na
na,"3393",na
na,"3574",na
na,"360",na
na,"3663",na
na,"3684",na
na,"3781",na
na,"3786",na
na,"3826",na
na,"3876",na
na,"4060",na
na,"4131",na
na,"4173",na
na,"4205",na
na,"4461",na
na,"4579",na
na,"488",na
na,"4918",na
na,"492",na
na,"5295",na
na,"5748",na
na,"5937",na
na,"6350",na
na,"948",na
na,"na",na
