actor,task,claim,auto,teleop,finish,successname,missname,enums,end,match scores json
robot,startingLocation,enum,enum,na,na,Starting Place,,Retreival|Center|Boiler,,
robot,holdGear,boolean,boolean,na,na,Hold,,,,
robot,pickupGearFloor,boolean,na,boolean,na,Ground Pickup,,,,
robot,pickupGearRetrival,boolean ,na,boolean,na,Loading Station,,,,
robot,placeGear,boolean,boolean,count,na,Place,Miss,,,
robot,dropGear,na,boolean,count,na,Drop,,,,
robot,guideGear,boolean,attempt,attempt,na,Guide,,,,
robot,holdFuelCapacity,count,boolean,na,na,Hold,,,,
robot,pickupFuelFloor,boolean,na,boolean,na,Ground Pickup,,,,
robot,pickupFuelHopper,boolean,na,boolean,na,Hopper,,,,
robot,pickupFuelRetrival,boolean,na,boolean,na,Loading Station,,,,
robot,shootLowBoiler,boolean,count,count,na,Low+,Miss+,,,
robot,shootHighBoiler,boolean,count,count,na,High+,Miss+,,,
robot,doAuto,enum,enum,na,na,Autonomous,,Gear|High|Low,,
robot,aimFuel,boolean,attempt,attempt,na,Aim Fuel,,,,
robot,shotPercentHigh,na,percentage,na,percentage,Team High,,,,
robot,shotPercentLow,na,percentage,na,percentage,Team Low,,,,
robot,defendMovement,na,na,count,na,Defend,,,,
robot,moveBaseline,boolean,boolean,na,na,Baseline,Moved,,,
robot,disabled,na,enum,enum,boolean,Disabled,Temp,,,
robot,climbRope,count,na,cycletime,count,Climb time,,,,
robot,pushTouchPad,boolean,na,boolean,boolean,Make Climb,Attempt,,,
robot,grabRope,boolean,na,count,na,Grab rope,,,,
robot,maintainContact,boolean,na,na,boolean,Touchpad held,,,,
robot,hasCustomRope,boolean,na,na,na,Custom Rope,,,,
robot,preferredDavit,enum,na,enum,na,Prefered Davit,,1|2|3,,
robot,hasRobot,boolean,na,na,boolean,No show,,,,
robot,robotNormalFoul,na,count,count,na,Foul,,,,
robot,robotTechFoul,na,count,count,na,Tech Foul,,,,
robot,robotRedCard,na,count,count,na,Red Card,,,,
robot,robotYellowCard,na,count,count,na,Yellow Card,,,,
team,hasPilot,boolean,na,na,na,Has Pilot,,,,
team,hasHumanPlayer,boolean,na,na,na,Has Human Player,,,,
team,showUp,boolean,na,na,na,Shown up,,,,
alliance,autoscoreRotor,na,count,na,count,Rotor auto,,,,
alliance,autoscoreKpa,na,count,na,count,Pressure auto,,,,
alliance,totalPoints,na,na,na,count,Final Score,,,,"matches.scoreRedFinal, matches.scoreBlueFinal"
alliance,allianceNormalFoul,na,na,na,count,Foul,,,,matches.Alliance[0|1].totalPoints
alliance,allianceTechFoul,na,na,na,count,Tech Foul,,,,
alliance,allianceYellowCard,na,na,na,count,Red Card,,,,
alliance,allianceRedCard,na,na,na,count,Yellow Card,,,,
alliance,autoFuelLow,na,na,na,count,auto low fuel,,,,
alliance,autoFuelHigh,na,na,na,count,auto high fuel,,,,
alliance,teleopFuelLow,na,na,na,count ,teleop fuel low,,,,
alliance,teleopFuelHigh,na,na,na,count,teleop fuel high,,,,
alliance,foulCount,na,na,na,count,foul count,,,,
alliance,techFoulCount,na,na,na,count,tech foul count,,,,
alliance,autoPoints,na,na,na,count,auto points,,,,
alliance,autoMobilityPoints,na,na,na,count,auto mobility points,,,,
alliance,autoRotorPoints,na,na,na,count,auto rotor points,,,,
alliance,teleopPoints,na,na,na,count,teleop points,,,,
alliance,teleopFuelPoints,na,na,na,count,teleop fuel points,,,,
alliance,teleopRotorPoints,na,na,na,count,teleop rotor points,,,,
