actor,task,claim,auto,teleop,finish,successname,missname,enums,end,match scores json
robot,placeMethod,enum,na,na,na,Place method,,Elevator|Shooter|Other,,
robot,hasClimber,boolean,na,na,na,Has climber,,,,
robot,climberLocation,enum,na,na,enum,Climber Location,,Exchange|Center|Far,,
robot,supportClimb,boolean,na,na,na,Support climb,,,,
robot,driveMotors,count,na,na,na,Drive Motors,,,,
robot,driveConfig,enum,na,na,na,Drive Config,,Mechanum|Swerve|Mechanical,,
robot,startPosition,enum,enum,na,na,Start Position,,Exchange|Center|Far,,
robot,autoLine,na,boolean,na,na,Auto Line,*,,,
robot,holdCube,na,boolean,na,na,Hold Cube,,,,
robot,placeCorrect,na,boolean,na,na,Place Correctly,,,,
robot,placeSwitch,boolean,boolean,count,na,Place Switch,*,,,
robot,placeScale,boolean,boolean,count,na,Place Scale,*,,,
robot,pickupCube,na,boolean,count,na,Pickup Cube,,,,
robot,pickupFloor,boolean,na,boolean,na,,,,,
robot,pickupPortal,boolean,na,boolean,na,,,,,
robot,pickupPlatform,boolean,na,boolean,na,,,,,
robot,pickupCubeZone,boolean,na,boolean,na,,,,,
robot,pickupExchange,boolean,na,boolean,na,,,,,
robot,placeExchange,boolean,boolean,count,na,,*,,,
robot,placeOpponentSwith,na,na,boolean,na,,*,,,
robot,defendRobot,na,na,rating,na,Defence,,,,
robot,parkPlatform,na,na,na,boolean,Park on Platform,,,,
robot,makeClimb,na,na,na,boolean,Climb bar,*,,,
alliance,autoQuest,boolean,na,na,na,,,,,
alliance,faceBoss,na,na,na,boolean,,,,,
aliance,useLevitate,na,na,boolean,na,,,,,
alliance,useForce,na,na,rating,na,,,,,
alliance,useBoost,na,na,rating,na,,,,,
team,techFoul,na,count,count,na,,,,,
team,foul,na,count,count,na,,,,,
team,redCard,na,count,count,na,,,,,
team,yellowCard,na,count,count,na,,,,,
