actor,observer,phase,category,position,newpart,tasks,end
robot,match,auto,Starting,,FALSE,startingLocation|moveBaseline,
robot,match,auto,Gear,,FALSE,holdGear|placeGear,
robot,match,auto,Fuel,,TRUE,holdFuelCapacity|shootHighBoiler|shootLowBoiler,
robot,match,teleop,Gear,,FALSE,placeGear|pickupGearRetrival|pickupGearFloor,
robot,match,teleop,Defense,,FALSE,defendMovement,
robot,match,teleop,Shots,,TRUE,shootHighBoiler|shootLowBoiler,
robot,match,teleop,Fuel,,TRUE,pickupFuelHopper|pickupFuelRetrival|pickupFuelFloor,
robot,match,finish,Climb,,FALSE,pushTouchPad|climbRope,
robot,match,finish,Failure,,TRUE,disabled|hasRobot,
robot,match,waiting,Waiting for Server,,FALSE,,
robot,boiler,teleop,Team,1,TRUE,shootHighBoiler,
robot,boiler,teleop,,1,FALSE,shootLowBoiler,
robot,boiler,teleop,Team,2,TRUE,shootHighBoiler,
robot,boiler,teleop,,2,FALSE,shootLowBoiler,
robot,boiler,teleop,Team,3,TRUE,shootHighBoiler,
robot,boiler,teleop,,3,FALSE,shootLowBoiler,
robot,boiler,waiting,Waiting for Server,,FALSE,,
robot,pit,pit,Choose Team,,FALSE,,
robot,pit,claim,Auto,,FALSE,doAuto|moveBaseline,
robot,pit,claim,Start,,FALSE,startingLocation,
robot,pit,claim,Goals,,FALSE,shootHighBoiler|shootLowBoiler|holdFuelCapacity,
robot,pit,claim,Collection,,FALSE,pickupFuelHopper|pickupFuelFloor,
robot,pit,claim,Gear,,TRUE,placeGear|pickupGearRetrieval|pickupGearFloor,
robot,pit,claim,Climb,,FALSE,pushTouchPad|climbRope,
