actor,task,claim,auto,teleop,finish,successname,missname,enums,end,match scores json
robot,placeMethod,enum,na,na,na,Place method,,Elevator|Shooter|Other,,
robot,hasClimber,boolean,na,na,na,Has climber,,,,
robot,climberLocation,enum,na,na,enum,Climber Location,,Exch|Center|NonEx,,
robot,supportClimb,boolean,na,na,count,Supports climb,,,,
robot,fallOver,na,na,na,boolean,Fall Over,,,,
robot,driveMotors,count,na,na,na,Drive Motors,,,,
robot,driveConfig,enum,na,na,na,Drive Config,,Mechanum|Swerve|Mechanical,,
robot,startPosition,enum,enum,na,na,Start Position,,Exch|Center|NonEx,,
robot,autoLine,boolean,boolean,na,na,Auto Line,,,,
robot,crossNull,na,boolean,na,na,Cross Null,,,,
robot,holdCube,na,boolean,na,na,Start with cube,,,,
robot,placeIncorrect,na,boolean,na,na,Wrong side,,,,
robot,placeSwitch,boolean,count,count,na,Switch,Drop,,,
robot,placeScale,boolean,count,count,na,Scale,Drop,,,
robot,pickupCube,na,count,count,na,Pickup Cube,,,,
robot,pickupFloor,boolean,na,count,na,Floor,,,,
robot,pickupPortal,boolean,na,count,na,Portal,,,,
robot,pickupPlatform,boolean,na,count,na,Platform,,,,
robot,pickupCubeZone,boolean,na,count,na,Cube Zone,,,,
robot,pickupExchange,boolean,na,count,na,Exchange,,,,
robot,placeExchange,boolean,boolean,count,na,Exchange,,,,
robot,placeOpponent,na,na,count,na,Opponent,,,,
robot,stackCube,boolean,na,boolean,na,Stacking,,,,
robot,defendRobot,na,na,rating,rating,Rating,,,,
robot,parkPlatform,na,na,na,boolean,Park on Platform,,,,
robot,makeClimb,na,na,na,boolean,Climb bar,Attempt,,,
robot,disabled,na,na,na,boolean,Disabled,Temporary,,,
robot,others,na,na,na,percentage,Others,,,,
alliance,autoQuest,boolean,na,na,na,,,,,
alliance,faceBoss,na,na,na,boolean,,,,,
aliance,useLevitate,na,na,boolean,na,,,,,
alliance,useForce,na,na,rating,na,,,,,
alliance,useBoost,na,na,rating,na,,,,,
team,getFoul,na,count,count,count,Foul,Tech Foul,,,
team,redCard,na,count,count,na,,,,,
team,yellowCard,na,count,count,na,,,,,
field,assignColors,na,enum,na,na,Platform Colors,,BBB|BRB|RBR|RRR,,
