Alliance, Team, Station
1,3737,1
1,0,2
1,0,3
2,0,1
2,0,2
2,0,3
3,3219,1
3,0,2
3,0,3
4,3684,1
4,0,2
4,2158,3
5,2942,1
5,0,2
5,0,3
6,2907,1
6,0,2
6,0,3
7,0,1
7,0,2
7,0,3
8,0,1
8,0,2
8,0,3
na,"1258",na
na,"1294",na
na,"1318",na
na,"1899",na
na,"1983",na
na,"2046",na
na,"2046",na
na,"2557",na
na,"2906",na
na,"2929",na
na,"2930",na
na,"2976",na
na,"3049",na
na,"3218",na
na,"3223",na
na,"3393",na
na,"3588",na
na,"360",na
na,"3781",na
na,"3786",na
na,"4089",na
na,"4131",na
na,"4450",na
na,"4461",na
na,"4469",na
na,"4579",na
na,"4681",na
na,"4915",na
na,"5495",na
na,"5588",na
na,"568",na
na,"5683",na
na,"5803",na
na,"5827",na
na,"5937",na
na,"6350",na
na,"6503",na
na,"949",na
na,"na",na
